Unnamed: 0,Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,SimillarHTTP,Inbound,Label
0,172.217.2.174-192.168.50.8-80-60015-6,192.168.50.8,60015,172.217.2.174,80,6,09:00.7,1,2,0,12,0,6,6,6,0,0,0,0,0,1.20E+07,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2000000,0,6,6,6,0,0,0,0,0,0,0,1,1,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,16560,-1,1,20,0,0,0,0,0,0,0,0,0,0,BENIGN
1,172.217.2.174-192.168.50.8-80-60015-6,172.217.2.174,80,192.168.50.8,60015,6,09:00.8,47,2,0,12,0,6,6,6,0,0,0,0,0,255319.1489,42553.19149,47,0,47,47,47,47,0,47,47,0,0,0,0,0,0,0,0,0,40,0,42553.19149,0,6,6,6,0,0,0,0,0,0,0,1,1,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,238,-1,1,20,0,0,0,0,0,0,0,0,0,1,BENIGN
93506,172.217.2.174-192.168.50.8-80-60015-6,192.168.50.8,60015,172.217.2.174,80,6,09:00.8,1,2,0,12,0,6,6,6,0,0,0,0,0,1.20E+07,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2000000,0,6,6,6,0,0,0,0,0,0,0,1,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,16560,-1,1,20,0,0,0,0,0,0,0,0,0,0,BENIGN
8849,172.217.10.2-192.168.50.8-443-60007-6,172.217.10.2,443,192.168.50.8,60007,6,09:00.9,8001234,4,0,0,0,0,0,0,0,0,0,0,0,0,0.499922887,2667078,4619512.872,8001232,1,8001234,2667078,4619512.872,8001232,1,0,0,0,0,0,0,0,0,0,128,0,0.499922887,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,128,0,0,0,0,0,0,4,0,0,0,60720,-1,0,32,1,0,1,1,8001232,0,8001232,8001232,0,1,BENIGN
283,172.217.6.225-192.168.50.6-443-55310-6,192.168.50.6,55310,172.217.6.225,443,6,09:01.2,112729696,13,6,368,196,46,6,28.30769231,19.10665074,46,6,32.66666667,20.65591118,5.003118256,0.168544764,6262760.889,18224444.85,58801719,0,112729696,9394141.333,21936313.89,58801719,1,58864181,11772836.2,26324859.8,58864177,0,1,0,0,0,260,120,0.115320102,0.053224662,6,46,30.5,18.98059951,360.2631579,0,0,1,0,0,1,0,0,0,32.10526316,28.30769231,32.66666667,260,0,0,0,0,0,0,13,368,6,196,255,253,12,20,62213,82.02438662,62271,62155,56301460.5,3535899.48,58801719,53801202,0,0,BENIGN
282,172.217.10.2-192.168.50.6-443-55311-6,192.168.50.6,55311,172.217.10.2,443,6,09:01.2,112729482,13,6,368,196,46,6,28.30769231,19.10665074,46,6,32.66666667,20.65591118,5.003127753,0.168545084,6262749,18224495.74,58801834,0,112729482,9394123.5,21936381.87,58801834,1,58864087,11772817.4,26324687.51,58863850,0,1,0,0,0,260,120,0.115320321,0.053224763,6,46,30.5,18.98059951,360.2631579,0,0,1,0,0,1,0,0,0,32.10526316,28.30769231,32.66666667,260,0,0,0,0,0,0,13,368,6,196,258,271,12,20,62153.5,102.5304833,62226,62081,56301589,3535880.388,58801834,53801344,0,0,BENIGN
280,172.217.10.226-192.168.50.6-443-55312-6,192.168.50.6,55312,172.217.10.226,443,6,09:01.2,112728813,12,6,337,196,46,6,28.08333333,19.93835196,46,6,32.66666667,20.65591118,4.728161202,0.159675238,6631106.647,18716200.25,58801793,0,112728813,10248073.91,22796941.66,58801793,0,58864114,11772822.8,26324804.12,58864064,1,1,0,0,0,240,120,0.106450158,0.053225079,6,46,30.47368421,19.50033738,380.2631579,0,0,1,0,0,1,0,0,0,32.16666667,28.08333333,32.66666667,240,0,0,0,0,0,0,12,337,6,196,257,246,11,20,62151,101.8233765,62223,62079,56301640.5,3535749.574,58801793,53801488,0,0,BENIGN
279,172.217.3.100-192.168.50.6-443-55313-6,192.168.50.6,55313,172.217.3.100,443,6,09:01.2,112728476,13,4,368,184,46,6,28.30769231,19.10665074,46,46,46,0,4.896721925,0.150804842,7045529.75,19249330.44,58801967,1,112728476,9394039.667,21936499.99,58801967,1,58864180,19621393.33,33985248.44,58864178,1,1,0,0,0,260,80,0.11532135,0.035483492,6,46,33.22222222,18.0050828,324.1830065,0,0,1,0,0,1,0,0,0,35.17647059,28.30769231,46,260,0,0,0,0,0,0,13,368,4,184,256,254,12,20,62032.5,119.501046,62117,61948,56301760,3535826.648,58801967,53801553,0,0,BENIGN
173308,192.168.50.8-74.208.236.171-59993-80-6,74.208.236.171,80,192.168.50.8,59993,6,09:01.2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,64,0,2000000,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,29200,-1,0,32,0,0,0,0,0,0,0,0,0,1,BENIGN
145699,192.168.50.8-74.208.236.171-59991-80-6,74.208.236.171,80,192.168.50.8,59991,6,09:01.2,0,2,0,0,0,0,0,0,0,0,0,0,0,,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,29200,-1,0,32,0,0,0,0,0,0,0,0,0,1,BENIGN
