Unnamed: 0,Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,SimillarHTTP,Inbound,Label
123,192.168.50.8-125.56.201.115-59099-80-6,192.168.50.8,59099,125.56.201.115,80,6,51:40.4,110861755,26,26,616,768,297,0,23.69230769,80.46006176,384,0,29.53846154,104.3506515,12.48401669,0.46905265,2173759.902,4077410.197,10007500,1,110682172,4427286.88,5073189.973,10186860,1,110682226,4427289.04,5104590.623,10188237,1,0,0,0,0,520,784,0.234526325,0.234526325,0,384,26.13207547,91.47930361,8368.46299,0,0,0,0,0,1,0,0,1,26.63461538,23.69230769,29.53846154,520,0,0,0,0,0,0,26,616,26,768,16329,245,23,20,198805.4545,64223.33899,392446,179351,9863210.091,413171.8138,10007500,8632089,detectportal.firefox.com/success.txt,0,BENIGN
23,192.168.50.8-54.218.239.186-59102-443-6,192.168.50.8,59102,54.218.239.186,443,6,51:40.5,40335006,9,10,8,62,1,0,0.888888889,0.333333333,31,0,6.2,13.07074766,1.735465218,0.471054845,2240833.667,4264279.765,10018634,1,40335006,5041875.75,5390054.209,10108818,1,40244490,4471610,5302932.05,10108919,1,0,0,0,0,180,200,0.223131242,0.247923603,0,31,3.55,9.400307946,88.36578947,0,0,0,0,0,1,0,0,1,3.736842105,0.888888889,6.2,180,0,0,0,0,0,0,9,8,10,62,63979,31320,7,20,90226.5,43.55456348,90287,90185,9993447.25,40495.75371,10018634,9933709,0,0,BENIGN
126,192.168.50.253-224.0.0.5-0-0-0,192.168.50.253,0,224.0.0.5,0,0,51:41.3,113244633,56,0,0,0,0,0,0,0,0,0,0,0,0,0.494504671,2058993.327,3839703.358,9882838,0,113244633,2058993.327,3839703.358,9882838,0,0,0,0,0,0,0,0,0,0,0,0,0.494504671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,-1,-1,0,0,248176.75,859690.5854,2978061,4,9188875.5,809901.6676,9882838,6781893,0,0,BENIGN
91,192.168.50.8-23.15.4.11-59155-80-6,192.168.50.8,59155,23.15.4.11,80,6,51:43.1,95628949,21,20,20,0,1,0,0.952380952,0.21821789,0,0,0,0,0.20914169,0.428740464,2390723.725,4244399.217,10016037,2,95628949,4781447.45,5009488.611,10030869,2,90261819,4750622.053,5144813.154,10031293,2,0,0,0,0,420,640,0.219598774,0.20914169,0,1,0.5,0.506060827,0.256097561,0,0,0,0,0,1,0,0,0,0.512195122,0.952380952,0,420,0,0,0,0,0,0,21,20,20,0,16209,237,19,20,14901.22222,177.4223617,15367,14798,10014183.78,5184.077926,10016037,10000366,0,0,BENIGN
87,172.217.0.110-192.168.50.8-80-59131-6,192.168.50.8,59131,172.217.0.110,80,6,51:43.1,95613243,21,20,20,0,1,0,0.952380952,0.21821789,0,0,0,0,0.209176045,0.428810892,2390331.075,4237871.728,10004365,1,95613243,4780662.15,5010160.019,10030836,2,90277591,4751452.158,5145711.515,10031022,1,0,0,0,0,420,640,0.219634847,0.209176045,0,1,0.5,0.506060827,0.256097561,0,0,0,0,0,1,0,0,0,0.512195122,0.952380952,0,420,0,0,0,0,0,0,21,20,20,0,16383,250,19,20,26508.33333,17.90251379,26534,26473,10004310.33,21.43011899,10004365,10004289,0,0,BENIGN
88,172.217.0.110-192.168.50.8-80-59132-6,192.168.50.8,59132,172.217.0.110,80,6,51:43.2,95597710,21,20,20,0,1,0,0.952380952,0.21821789,0,0,0,0,0.209210032,0.428880566,2389942.75,4238069.361,10019931,1,95597710,4779885.5,5010846.578,10046406,1,90293036,4752265.053,5146592.817,10046454,2,0,0,0,0,420,640,0.219670534,0.209210032,0,1,0.5,0.506060827,0.256097561,0,0,0,0,0,1,0,0,0,0.512195122,0.952380952,0,420,0,0,0,0,0,0,21,20,20,0,16383,250,19,20,26475.77778,29.3844252,26522,26437,10006079.11,5194.514136,10019931,10004309,0,0,BENIGN
85,192.168.50.8-104.36.115.113-59149-443-6,192.168.50.8,59149,104.36.115.113,443,6,51:43.2,95550752,22,20,51,0,31,0,2.318181818,6.409712598,0,0,0,0,0.533747762,0.43955698,2330506.146,4203258.43,10009960,2,95550752,4550035.81,4993020.004,10030849,2,90277384,4751441.263,5145699.499,10030921,2,0,0,0,0,440,400,0.230244132,0.209312848,0,31,1.209302326,4.678003947,21.88372093,0,0,0,0,0,1,0,0,0,1.238095238,2.318181818,0,440,0,0,0,0,0,0,22,51,20,0,16425,4756,20,20,20916.4,43.98282493,20989,20857,9534158.5,1504464.314,10009960,5252378,0,0,BENIGN
84,192.168.50.8-72.21.91.29-59162-80-6,192.168.50.8,59162,72.21.91.29,80,6,51:43.3,95488268,21,20,20,0,1,0,0.952380952,0.21821789,0,0,0,0,0.209449814,0.429372119,2387206.7,4235329.269,10018473,1,95488268,4774413.4,5010302.142,10046448,1,90293203,4752273.842,5146602.457,10046545,2,0,0,0,0,420,640,0.219922305,0.209449814,0,1,0.5,0.506060827,0.256097561,0,0,0,0,0,1,0,0,0,0.512195122,0.952380952,0,420,0,0,0,0,0,0,21,20,20,0,16228,288,19,20,27966.44444,57.34786638,28074,27869,10004586.78,5207.776344,10018473,10002701,0,0,BENIGN
90,172.217.0.110-192.168.50.8-80-59134-6,192.168.50.8,59134,172.217.0.110,80,6,51:43.3,95441625,21,20,20,0,1,0,0.952380952,0.21821789,0,0,0,0,0.209552174,0.429581957,2386040.625,4235881.507,10019970,1,95441625,4772081.25,5010906.88,10046430,1,90308541,4753081.105,5147477.655,10046403,1,0,0,0,0,420,640,0.220029783,0.209552174,0,1,0.5,0.506060827,0.256097561,0,0,0,0,0,1,0,0,0,0.512195122,0.952380952,0,420,0,0,0,0,0,0,21,20,20,0,16383,250,19,20,26464.33333,26.05762844,26499,26418,10007816.89,6874.678091,10019970,10004286,0,0,BENIGN
89,172.217.0.110-192.168.50.8-80-59133-6,192.168.50.8,59133,172.217.0.110,80,6,51:43.3,95426030,21,20,20,0,1,0,0.952380952,0.21821789,0,0,0,0,0.20958642,0.429652161,2385650.75,4235139.351,10019960,1,95426030,4771301.5,5010045.232,10046456,1,90293032,4752264.842,5146586.1,10046500,1,0,0,0,0,420,640,0.220065741,0.20958642,0,1,0.5,0.506060827,0.256097561,0,0,0,0,0,1,0,0,0,0.512195122,0.952380952,0,420,0,0,0,0,0,0,21,20,20,0,16383,250,19,20,26502.11111,39.05587166,26553,26435,10006048.11,5217.123739,10019960,10004264,0,0,BENIGN
