Source IP,Destination IP,Protocol,Source Port,Destination Port,Length
34.120.52.64,192.168.1.7,6,443,49359,81
192.168.1.7,34.120.52.64,6,49359,443,85
34.120.52.64,192.168.1.7,6,443,49359,54
192.168.1.7,152.199.38.90,6,49716,80,54
152.199.38.90,192.168.1.7,6,80,49716,54
192.168.1.7,152.199.38.90,6,49716,80,54
192.168.1.7,204.79.197.203,6,49718,80,54
204.79.197.203,192.168.1.7,6,80,49718,54
204.79.197.203,192.168.1.7,6,80,49718,54
192.168.1.7,204.79.197.203,6,49718,80,54
192.168.1.7,192.168.0.105,6,49726,7680,66
192.168.1.7,192.168.1.1,17,56924,53,72
192.168.1.7,192.168.1.1,17,55017,53,79
192.168.1.7,192.168.1.1,17,63685,53,79
192.168.1.1,192.168.1.7,17,53,56924,120
192.168.1.1,192.168.1.7,17,53,55017,95
192.168.1.1,192.168.1.7,17,53,63685,142
192.168.1.7,34.111.35.151,17,53709,443,1292
192.168.1.7,34.111.35.151,17,53709,443,1292
34.111.35.151,192.168.1.7,17,443,53709,1292
34.111.35.151,192.168.1.7,17,443,53709,1292
34.111.35.151,192.168.1.7,17,443,53709,1292
34.111.35.151,192.168.1.7,17,443,53709,1292
34.111.35.151,192.168.1.7,17,443,53709,509
192.168.1.7,34.111.35.151,17,53709,443,81
192.168.1.7,34.111.35.151,17,53709,443,208
192.168.1.7,34.111.35.151,17,53709,443,1288
192.168.1.7,34.111.35.151,17,53709,443,284
34.111.35.151,192.168.1.7,17,443,53709,626
34.111.35.151,192.168.1.7,17,443,53709,163
34.111.35.151,192.168.1.7,17,443,53709,65
34.111.35.151,192.168.1.7,17,443,53709,201
192.168.1.7,34.111.35.151,17,53709,443,73
192.168.1.7,34.111.35.151,17,53709,443,77
34.111.35.151,192.168.1.7,17,443,53709,66
192.168.1.7,104.22.11.100,6,49729,443,66
104.22.11.100,192.168.1.7,6,443,49729,66
192.168.1.7,104.22.11.100,6,49729,443,54
192.168.1.7,104.22.11.100,6,49729,443,1808
104.22.11.100,192.168.1.7,6,443,49729,54
104.22.11.100,192.168.1.7,6,443,49729,54
104.22.11.100,192.168.1.7,6,443,49729,1514
104.22.11.100,192.168.1.7,6,443,49729,1514
104.22.11.100,192.168.1.7,6,443,49729,595
192.168.1.7,104.22.11.100,6,49729,443,54
192.168.1.7,104.22.11.100,6,49729,443,118
192.168.1.7,104.22.11.100,6,49729,443,146
192.168.1.7,104.22.11.100,6,49729,443,1530
104.22.11.100,192.168.1.7,6,443,49729,566
192.168.1.7,104.22.11.100,6,49729,443,85
104.22.11.100,192.168.1.7,6,443,49729,85
104.22.11.100,192.168.1.7,6,443,49729,54
